/workspace/modded-nanogpt/records/track_3_optimization/proposed_runs/runs/20260505_172848/idea_10e_attnproj_bounded_trust_floor_soapish/seed_1/logs/1d7d5166-3a25-4fdd-89eb-1d8b35478ee6.txt
step:125/3175 val_loss:4.53420 train_time:47.663s step_avg:381.30ms
step:250/3175 val_loss:4.05568 train_time:91.744s step_avg:366.97ms
step:375/3175 val_loss:3.89890 train_time:134.973s step_avg:359.93ms
step:500/3175 val_loss:3.81307 train_time:179.587s step_avg:359.17ms
step:625/3175 val_loss:3.75867 train_time:224.209s step_avg:358.74ms
step:750/3175 val_loss:3.72466 train_time:267.025s step_avg:356.03ms
step:875/3175 val_loss:3.69201 train_time:311.630s step_avg:356.15ms
step:1000/3175 val_loss:3.66109 train_time:355.509s step_avg:355.51ms
step:1125/3175 val_loss:3.63591 train_time:398.648s step_avg:354.35ms
step:1250/3175 val_loss:3.60341 train_time:442.838s step_avg:354.27ms
step:1375/3175 val_loss:3.57637 train_time:487.047s step_avg:354.22ms
step:1500/3175 val_loss:3.54685 train_time:529.770s step_avg:353.18ms
step:1625/3175 val_loss:3.52610 train_time:574.249s step_avg:353.38ms
step:1750/3175 val_loss:3.49837 train_time:618.156s step_avg:353.23ms
step:1875/3175 val_loss:3.47399 train_time:661.022s step_avg:352.54ms
step:2000/3175 val_loss:3.44974 train_time:705.255s step_avg:352.63ms
step:2125/3175 val_loss:3.42811 train_time:748.349s step_avg:352.16ms
step:2250/3175 val_loss:3.40559 train_time:790.957s step_avg:351.54ms
step:2375/3175 val_loss:3.38567 train_time:833.824s step_avg:351.08ms
step:2500/3175 val_loss:3.36521 train_time:876.423s step_avg:350.57ms
step:2625/3175 val_loss:3.34367 train_time:919.296s step_avg:350.21ms
step:2750/3175 val_loss:3.32427 train_time:961.891s step_avg:349.78ms
step:2875/3175 val_loss:3.30622 train_time:1004.771s step_avg:349.49ms
step:3000/3175 val_loss:3.28990 train_time:1047.340s step_avg:349.11ms
step:3100/3175 val_loss:3.27941 train_time:1081.587s step_avg:348.90ms
target_reached step:3100/3175 val_loss:3.27941 target_val_loss:3.28000
