/workspace/modded-nanogpt/records/track_3_optimization/proposed_runs/runs/20260505_175409/idea_10e_attnproj_bounded_trust_floor_soapish/seed_2/logs/37c85394-091e-4214-965a-a1f1ca4666da.txt
step:125/3175 val_loss:4.50302 train_time:46.072s step_avg:368.57ms
step:250/3175 val_loss:4.05543 train_time:88.971s step_avg:355.88ms
step:375/3175 val_loss:3.90215 train_time:131.955s step_avg:351.88ms
step:500/3175 val_loss:3.81864 train_time:174.686s step_avg:349.37ms
step:625/3175 val_loss:3.76482 train_time:217.601s step_avg:348.16ms
step:750/3175 val_loss:3.72830 train_time:260.157s step_avg:346.88ms
step:875/3175 val_loss:3.69735 train_time:303.026s step_avg:346.32ms
step:1000/3175 val_loss:3.66714 train_time:345.723s step_avg:345.72ms
step:1125/3175 val_loss:3.63889 train_time:388.577s step_avg:345.40ms
step:1250/3175 val_loss:3.60701 train_time:431.216s step_avg:344.97ms
step:1375/3175 val_loss:3.57802 train_time:474.009s step_avg:344.73ms
step:1500/3175 val_loss:3.54952 train_time:516.513s step_avg:344.34ms
step:1625/3175 val_loss:3.52676 train_time:559.351s step_avg:344.22ms
step:1750/3175 val_loss:3.49975 train_time:602.001s step_avg:344.00ms
step:1875/3175 val_loss:3.47551 train_time:644.951s step_avg:343.97ms
step:2000/3175 val_loss:3.45208 train_time:687.637s step_avg:343.82ms
step:2125/3175 val_loss:3.43000 train_time:730.505s step_avg:343.77ms
step:2250/3175 val_loss:3.40821 train_time:773.071s step_avg:343.59ms
step:2375/3175 val_loss:3.38725 train_time:815.967s step_avg:343.57ms
step:2500/3175 val_loss:3.36661 train_time:858.587s step_avg:343.43ms
step:2625/3175 val_loss:3.34540 train_time:901.454s step_avg:343.41ms
step:2750/3175 val_loss:3.32630 train_time:944.083s step_avg:343.30ms
step:2875/3175 val_loss:3.30815 train_time:986.950s step_avg:343.29ms
step:3000/3175 val_loss:3.29196 train_time:1029.567s step_avg:343.19ms
step:3100/3175 val_loss:3.28135 train_time:1063.821s step_avg:343.17ms
step:3125/3175 val_loss:3.27947 train_time:1072.496s step_avg:343.20ms
target_reached step:3125/3175 val_loss:3.27947 target_val_loss:3.28000
