/workspace/modded-nanogpt/records/track_3_optimization/proposed_runs/runs/20260505_170619/idea_10e_attnproj_bounded_trust_floor_soapish/seed_0/logs/0996c54e-8e37-4207-96b0-e86550776a64.txt
step:125/3175 val_loss:4.49228 train_time:46.141s step_avg:369.12ms
step:250/3175 val_loss:4.05345 train_time:89.080s step_avg:356.32ms
step:375/3175 val_loss:3.89339 train_time:132.048s step_avg:352.13ms
step:500/3175 val_loss:3.81274 train_time:174.800s step_avg:349.60ms
step:625/3175 val_loss:3.75867 train_time:217.866s step_avg:348.59ms
step:750/3175 val_loss:3.72494 train_time:260.709s step_avg:347.61ms
step:875/3175 val_loss:3.69274 train_time:303.820s step_avg:347.22ms
step:1000/3175 val_loss:3.66434 train_time:346.715s step_avg:346.71ms
step:1125/3175 val_loss:3.63755 train_time:389.758s step_avg:346.45ms
step:1250/3175 val_loss:3.60542 train_time:432.582s step_avg:346.07ms
step:1375/3175 val_loss:3.57768 train_time:475.596s step_avg:345.89ms
step:1500/3175 val_loss:3.54569 train_time:518.283s step_avg:345.52ms
step:1625/3175 val_loss:3.52525 train_time:561.361s step_avg:345.45ms
step:1750/3175 val_loss:3.49892 train_time:604.065s step_avg:345.18ms
step:1875/3175 val_loss:3.47576 train_time:646.941s step_avg:345.04ms
step:2000/3175 val_loss:3.45122 train_time:689.636s step_avg:344.82ms
step:2125/3175 val_loss:3.42915 train_time:733.855s step_avg:345.34ms
step:2250/3175 val_loss:3.40747 train_time:776.471s step_avg:345.10ms
step:2375/3175 val_loss:3.38661 train_time:820.590s step_avg:345.51ms
step:2500/3175 val_loss:3.36608 train_time:864.414s step_avg:345.77ms
step:2625/3175 val_loss:3.34505 train_time:907.349s step_avg:345.66ms
step:2750/3175 val_loss:3.32587 train_time:951.219s step_avg:345.90ms
step:2875/3175 val_loss:3.30760 train_time:995.692s step_avg:346.33ms
step:3000/3175 val_loss:3.29129 train_time:1038.380s step_avg:346.13ms
step:3100/3175 val_loss:3.28060 train_time:1073.955s step_avg:346.44ms
step:3125/3175 val_loss:3.27880 train_time:1082.641s step_avg:346.44ms
target_reached step:3125/3175 val_loss:3.27880 target_val_loss:3.28000
